Removed Pin From Net: NetName=GND Pin=T1-5
Removed Pin From Net: NetName=GND Pin=T1-6
Removed Member From Class: ClassName=Sheet1_wiekszy Member=U?
Change Component Footprint: Designator=D3 Old Footprint=FP-340CC-MFG New Footprint=FP-340CC-MFG
Add Pin To Net: Unknown Pin: Pin R22-2
Add Pin To Net: Unknown Pin: Pin R23-1
Add Pin To Net: Unknown Pin: Pin R23-2
Add Pin To Net: Unknown Pin: Pin R24-1
Add Pin To Net: Unknown Pin: Pin R24-2
Add Pin To Net: Unknown Pin: Pin R27-1
Add Pin To Net: Unknown Pin: Pin R27-2
Add Pin To Net: Unknown Pin: Pin R28-1
Add Pin To Net: Unknown Pin: Pin R28-2
Add Pin To Net: Unknown Pin: Pin R29-1
Add Pin To Net: Unknown Pin: Pin R29-2
Add Pin To Net: Unknown Pin: Pin R30-1
Add Pin To Net: Unknown Pin: Pin R30-2
Add Pin To Net: Unknown Pin: Pin R31-1
Add Pin To Net: Unknown Pin: Pin R31-2
Add Pin To Net: Unknown Pin: Pin R32-1
Add Pin To Net: Unknown Pin: Pin R32-2
Add Pin To Net: Unknown Pin: Pin R33-1
Add Pin To Net: Unknown Pin: Pin R33-2
Add Pin To Net: Unknown Pin: Pin R34-1
Add Pin To Net: Unknown Pin: Pin R34-2
Add Pin To Net: Unknown Pin: Pin R37-1
Add Pin To Net: Unknown Pin: Pin R37-2
Add Pin To Net: Unknown Pin: Pin R38-1
Add Pin To Net: Unknown Pin: Pin R38-2
Add Pin To Net: Unknown Pin: Pin R39-1
Add Pin To Net: Unknown Pin: Pin R39-2
Add Pin To Net: Unknown Pin: Pin R40-1
Add Pin To Net: Unknown Pin: Pin R40-2
Add Pin To Net: Unknown Pin: Pin R42-1
Add Pin To Net: Unknown Pin: Pin R43-1
Add Pin To Net: Unknown Pin: Pin R43-2
Add Pin To Net: Unknown Pin: Pin R100-1
Add Pin To Net: Unknown Pin: Pin R100-2
Add Pin To Net: Unknown Pin: Pin R101-1
Add Pin To Net: Unknown Pin: Pin R101-2
Added Pin To Net: NetName=NetQ1_1 Pin=Q1-1
Added Net: Name=NetQ1_1
Add Class Member: Failed to add class member : Component C2 Capacitor
Add Class Member: Failed to add class member : Component C3 Capacitor
Add Class Member: Failed to add class member : Component C4 Capacitor
Add Class Member: Failed to add class member : Component C5 Capacitor
Add Class Member: Failed to add class member : Component C6 Capacitor
Add Class Member: Failed to add class member : Component C7 Capacitor
Add Class Member: Failed to add class member : Component C9 Capacitor
Add Class Member: Failed to add class member : Component C10 Capacitor
Add Class Member: Failed to add class member : Component C11 Capacitor
Add Class Member: Failed to add class member : Component C12 Capacitor
Add Class Member: Failed to add class member : Component C13 Capacitor
Add Class Member: Failed to add class member : Component C15 Capacitor
Add Class Member: Failed to add class member : Component C16 Capacitor
Add Class Member: Failed to add class member : Component C17 Capacitor
Add Class Member: Failed to add class member : Component C18 Capacitor
Add Class Member: Failed to add class member : Component C19 Capacitor
Add Class Member: Failed to add class member : Component C20 Capacitor
Add Class Member: Failed to add class member : Component C21 Capacitor
Add Class Member: Failed to add class member : Component C22 Capacitor
Add Class Member: Failed to add class member : Component C23 Capacitor
Add Class Member: Failed to add class member : Component C24
Add Class Member: Failed to add class member : Component C25 Capacitor
Add Class Member: Failed to add class member : Component C26
Add Class Member: Failed to add class member : Component C27 Capacitor
Add Class Member: Failed to add class member : Component C28 Capacitor
Add Class Member: Failed to add class member : Component C29 Capacitor
Add Class Member: Failed to add class member : Component C30 Capacitor
Add Class Member: Failed to add class member : Component C31 Capacitor
Add Class Member: Failed to add class member : Component C32 Capacitor
Add Class Member: Failed to add class member : Component C33 Capacitor
Add Class Member: Failed to add class member : Component C34
Add Class Member: Failed to add class member : Component C35 Capacitor
Add Class Member: Failed to add class member : Component C36
Add Class Member: Failed to add class member : Component C37 Capacitor
Add Class Member: Failed to add class member : Component C38 Capacitor
Add Class Member: Failed to add class member : Component C39 Capacitor
Add Class Member: Failed to add class member : Component C40 Capacitor
Add Class Member: Failed to add class member : Component C41
Added Member To Class: ClassName=Sheet1 Member=Component J12 1604470000
Add Class Member: Failed to add class member : Component R1 Resistor
Add Class Member: Failed to add class member : Component R2 Resistor
Add Class Member: Failed to add class member : Component R3 Resistor
Add Class Member: Failed to add class member : Component R4 Resistor
Add Class Member: Failed to add class member : Component R5 Resistor
Add Class Member: Failed to add class member : Component R6 Resistor
Add Class Member: Failed to add class member : Component R8 Resistor
Add Class Member: Failed to add class member : Component R9 Resistor
Add Class Member: Failed to add class member : Component R10 Resistor
Add Class Member: Failed to add class member : Component R11 Resistor
Add Class Member: Failed to add class member : Component R12 Resistor
Add Class Member: Failed to add class member : Component R13 Resistor
Add Class Member: Failed to add class member : Component R14 Resistor
Add Class Member: Failed to add class member : Component R15 Resistor
Add Class Member: Failed to add class member : Component R16 Resistor
Add Class Member: Failed to add class member : Component R17 Resistor
Add Class Member: Failed to add class member : Component R18 Resistor
Add Class Member: Failed to add class member : Component R19 Resistor
Add Class Member: Failed to add class member : Component R20 Resistor
Add Class Member: Failed to add class member : Component R21 Resistor
Add Class Member: Failed to add class member : Component R22 Resistor
Add Class Member: Failed to add class member : Component R23 Resistor
Add Class Member: Failed to add class member : Component R24 Resistor
Add Class Member: Failed to add class member : Component R27 Resistor
Add Class Member: Failed to add class member : Component R28 Resistor
Add Class Member: Failed to add class member : Component R29 Resistor
Add Class Member: Failed to add class member : Component R30 Resistor
Add Class Member: Failed to add class member : Component R31 Resistor
Add Class Member: Failed to add class member : Component R32 Resistor
Add Class Member: Failed to add class member : Component R33 Resistor
Add Class Member: Failed to add class member : Component R34 Resistor
Add Class Member: Failed to add class member : Component R37 Resistor
Add Class Member: Failed to add class member : Component R38 Resistor
Add Class Member: Failed to add class member : Component R39 Resistor
Add Class Member: Failed to add class member : Component R40 Resistor
Add Class Member: Failed to add class member : Component R42 Resistor
Add Class Member: Failed to add class member : Component R43 Resistor
Add Class Member: Failed to add class member : Component R100 Resistor
Add Class Member: Failed to add class member : Component R101 Resistor
Added Member To Class: ClassName=Sheet1_wiekszy Member=Component U1 UCC28610D
Added Member To Class: ClassName=Sheet1 Member=Component U5 TPS54325PWP
Added Member To Class: ClassName=Sheet1 Member=Component U7 TPS54325PWP
Added Member To Class: ClassName=Sheet1 Member=Component U8 TPS54325PWP
